stock name,price,board,volume,buy_volume,sell_volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.005,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.345,Warr,"222,042",0.335 / 80,0.345 / 248,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL ASIA BHD,0.150,Main,33,0.150 / 267,0.170 / 80,29 Mar 2019,7:12 PM,31 Dec 2018,"2,673",566,0.10,30 Sep 2018,"6,948","-1,172",-0.08,30 Jun 2018,"8,158","-3,119",-0.39,31 Mar 2018,"7,949","-3,082",-0.44,31 Dec 2017,"31,489",-,-,"-1,735",0,"368,651","1,281",270,"8,205","11,629","12,609",0,0,"300,985",16.83,-,-5.51,1.29,-
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),0.035,Warr,0,"0.005 / 6,000",0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),0.270,Warr,"41,495",0.000 / 0,0.290 / 50,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIA X BERHAD,0.245,Main,"192,336","0.240 / 129,027","0.245 / 1,339",29 Mar 2019,7:12 PM,31 Dec 2018,"1,148,075","-99,269",-2.40,30 Sep 2018,"1,077,422","-197,469",-4.80,30 Jun 2018,"1,053,620","-57,457",-1.40,31 Dec 2017,"1,220,466","84,414",2.00,31 Dec 2017,"4,562,005",-,-,"98,886",0,"1,595,903","125,315","8,518","432,675","2,219,816","673,392","789,043",0,"988,606",5.44,-,2.17,0.5,-
AIRASIA X BERHAD - WARRANTS  A  2015/2020,0.045,Main,"29,882","0.045 / 22,174","0.050 / 18,012",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"2,308,350","158,032","36,922","-88,267",0,"2,275,213","19,516",993,"262,976","1,215,832","1,550,312",0,0,"1,236,155",-5.88,-6.67,-3.82,0.37,0.5
ABF MALAYSIA BOND INDEX FUND,1.179,Etf,0,1.179 / 40,"1.182 / 1,000",29 Mar 2019,7:12 PM,30 Sep 2018,"28,446","27,855",2.25,30 Jun 2018,"-1,418","-2,041",-0.16,31 Mar 2018,"17,086","16,459",1.30,30 Sep 2017,"18,549","17,909",1.36,31 Dec 2018,"59,754",-,-,"57,300",0,0,0,0,"12,557","58,097",0,0,0,"1,418,254",95.89,-,95.89,25.41,-
ABLEGROUP BERHAD,0.070,Main,978,"0.070 / 7,609","0.075 / 4,600",29 Mar 2019,7:12 PM,31 Dec 2018,"1,413",-70,-0.03,30 Sep 2018,"1,122",4,0.01,30 Jun 2018,873,-399,-0.15,31 Mar 2018,549,-522,-0.20,31 Dec 2017,"9,063",-,-,3,0,851,0,"38,667","4,095","3,030",0,0,0,"45,831",1.13,-,0.03,15.63,-
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),0.100,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCECON HOLDINGS BERHAD,0.425,Main,"9,792",0.420 / 800,"0.430 / 2,730",29 Mar 2019,7:12 PM,31 Dec 2018,"71,585","2,886",0.72,30 Sep 2018,"65,780","1,536",0.38,30 Jun 2018,"73,734","3,663",0.91,31 Mar 2018,"61,761","2,532",0.63,31 Dec 2017,"265,988",-,-,"18,464",0,"151,368",0,0,"46,896","122,698","21,375",0,0,"174,608",12.08,-,6.94,1.49,-
AAX-C21: CW AIRASIA X BERHAD (MACQ),0.005,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"2,308,350","158,032","36,922","-88,267",0,"2,275,213","19,516",993,"262,976","1,215,832","1,550,312",0,0,"1,236,155",-5.88,-6.67,-3.82,0.37,0.5
AE MULTI HOLDINGS BHD,0.105,Main,200,"0.105 / 5,710","0.110 / 1,168",29 Mar 2019,7:12 PM,31 Dec 2018,"15,945","-1,392",-0.46,30 Sep 2018,"15,253",59,0.02,30 Jun 2018,"14,103",-153,-0.05,31 Mar 2018,"15,893",-591,-0.20,31 Dec 2017,"62,103",-,-,"-1,287",0,"34,407",0,"27,393","6,558","42,425",0,0,0,"56,709",2.26,-,-2.07,1.29,-
ADVANCED PACKAGING TECHNOLOGY,1.840,Main,70,1.840 / 60,2.200 / 50,29 Mar 2019,7:12 PM,31 Dec 2018,"6,439",-58,-0.30,30 Sep 2018,"5,939",216,1.13,30 Jun 2018,"6,180",366,1.91,31 Mar 2018,"6,860",520,2.72,31 Dec 2017,"24,907","2,171",876,"1,176",0,"11,950","5,000","4,248","10,452","4,288",0,"2,423",0,"30,164",5.54,3.83,4.72,4.82,0
ADVENTA BHD,0.355,Main,90,0.355 / 160,0.360 / 260,29 Mar 2019,7:12 PM,31 Dec 2018,"7,773","-27,427",-17.95,31 Oct 2018,"9,589",-569,-0.37,31 Jul 2018,"13,420",757,0.50,30 Apr 2018,"15,360",702,0.46,31 Oct 2017,"44,236","5,679","2,476",142,"32,105","49,045",0,"14,722","10,215","23,025","23,376",0,0,"81,247",6.35,0.17,0.32,2.04,0.27
AEMULUS HOLDINGS BERHAD,0.240,Ace,"2,345","0.240 / 3,880","0.245 / 2,667",29 Mar 2019,7:12 PM,31 Dec 2018,"7,738","1,014",0.18,30 Sep 2018,"6,733",302,0.06,30 Sep 2018,"6,733",302,0.06,30 Jun 2018,"9,538","2,198",0.40,30 Sep 2018,"36,957",-,-,"5,295","13,686","6,504",356,"20,341","7,079","6,626","1,831",0,0,"78,503",14.79,-,14.33,9.68,-
ACOUSTECH BHD,0.420,Main,"14,533","0.415 / 1,582",0.420 / 262,29 Mar 2019,7:12 PM,31 Dec 2018,"6,847","-5,514",-3.20,30 Sep 2018,"10,789","-1,108",-0.60,27 Aug 2018,0,0,0.00,31 Mar 2018,"6,210","-1,343",-0.80,31 Dec 2017,"46,689",-,-,"-13,883","23,469","1,246",0,"8,606","12,060","25,894","13,496",0,0,"99,765",-28.23,-,-29.74,2.79,-
ALLIANCE BANK MALAYSIA BERHAD,4.090,Main,"14,050",4.070 / 26,"4.090 / 3,071",29 Mar 2019,7:12 PM,31 Dec 2018,"418,401","148,932",9.60,30 Sep 2018,"399,186","140,522",9.10,30 Jun 2018,"401,072","136,367",8.80,31 Mar 2018,"403,530","112,871",7.30,,,,,,,,,,,,,,,,,,,,
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,0.005,Main,"5,500","0.005 / 1,000","0.010 / 7,493",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"43,115","6,246","3,830",672,0,"14,882",0,"19,327","3,776","34,035",0,0,0,"25,401",9.94,2.67,1.56,1.3,0.4
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),0.030,Warr,0,0.000 / 0,0.040 / 500,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"3,514,418","395,048","323,654","230,962","12,311","2,048,373","51,960","460,725","313,560","1,352,609",0,0,0,"1,643,637",9.44,14.84,6.57,0.67,0.01
ABM FUJIYA BERHAD,0.520,Main,0,0.495 / 50,0.520 / 80,29 Mar 2019,7:12 PM,31 Dec 2018,"34,103","3,144",1.75,30 Sep 2018,"31,991","2,509",1.39,30 Jun 2018,"23,757","-1,815",-1.01,31 Dec 2017,"27,996","4,414",2.45,31 Dec 2017,"100,114","16,423","7,583","6,364",0,"90,971","4,082","96,275","7,874","71,588","12,041",0,0,"153,651",8.78,4.23,6.36,2.08,0.3
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,1.540,Bond,0,1.500 / 300,1.540 / 613,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,20 Feb 2012,"344,269",,,"95,607",0,"27,452","569,559",0,"4,416","346,153","877,603",0,0,"341,234",,,,2.78,
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),0.035,Warr,500,"0.030 / 2,000","0.035 / 3,400",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"3,514,418","395,048","323,654","230,962","12,311","2,048,373","51,960","460,725","313,560","1,352,609",0,0,0,"1,643,637",9.44,14.84,6.57,0.67,0.01
APEX HEALTHCARE BHD,8.870,Main,142,8.870 / 16,9.080 / 54,29 Mar 2019,7:12 PM,31 Dec 2018,"163,061","16,803",14.33,30 Sep 2018,"165,253","14,942",12.71,30 Jun 2018,"155,946","13,701",11.69,31 Mar 2018,"168,400","13,221",11.25,31 Dec 2017,"620,264",-,-,"44,459","1,970","124,974","10,474","69,018","80,903","110,185",0,0,0,"343,655",9.04,-,7.17,2.72,-
AMANAH HARTA TANAH PNB,0.770,Main,98,0.750 / 110,0.775 / 20,29 Mar 2019,7:12 PM,31 Dec 2018,"8,128","2,696",1.23,30 Sep 2018,"8,190","3,691",1.68,30 Jun 2018,"7,831","2,884",1.31,31 Dec 2017,"7,624","8,993",4.09,31 Dec 2018,"39,221",-,-,"12,319",0,9,"438,991",0,212,"198,179",0,0,0,"282,165",31.21,-,31.41,0.22,-
ADVANCE INFORMATION MARKETING,0.250,Ace,0,0.250 / 117,0.280 / 500,29 Mar 2019,7:12 PM,31 Dec 2018,"2,741","1,147",0.47,30 Sep 2018,"1,731",-969,-0.40,30 Jun 2018,"1,601","-1,258",-0.52,31 Mar 2018,"3,478","-1,184",-0.49,31 Dec 2017,"12,457",-,-,"-2,115",2,"2,587","2,821",688,"12,049",501,0,165,0,"26,485",-17.03,-,-16.98,36.93,-
AEON CREDIT SERVICE (M) BHD,16.800,Main,"3,128",16.780 / 28,16.800 / 5,29 Mar 2019,7:12 PM,30 Nov 2018,"348,497","87,136",33.35,31 Aug 2018,"332,092","80,640",31.03,31 May 2018,"325,718","99,235",38.43,28 Feb 2018,"309,173","82,308",31.87,29 Feb 2016,"965,234","483,783","464,284","228,222",0,"52,076","24,239",0,"67,250","822,040","4,214,649",0,0,"1,060,818",48.16,22.64,23.64,2.86,0.81
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),0.020,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),0.060,Warr,"12,710",0.060 / 20,"0.075 / 3,600",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEON-CP: CW AEON CO (M) BERHAD (RHB),0.050,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"3,514,418","395,048","323,654","230,962","12,311","2,048,373","51,960","460,725","313,560","1,352,609",0,0,0,"1,643,637",9.44,14.84,6.57,0.67,0.01
AIRASIA GROUP BERHAD,2.660,Main,"139,001",2.650 / 109,"2.660 / 10,040",29 Mar 2019,7:12 PM,31 Dec 2018,"2,823,386","-457,035",-11.80,30 Sep 2018,"2,608,794","804,013",27.40,30 Jun 2018,"2,623,628","315,282",10.80,31 Mar 2018,0,-13,0.00,31 Dec 2017,"9,709,721",-,-,"1,628,774","609,329","12,303,522","855,672","68,234","1,882,195","5,333,843","7,584,018","631,276",0,"6,710,080",27.45,-,16.77,0.81,-
ACME HOLDINGS BERHAD,0.250,Main,0,0.260 / 50,0.300 / 47,29 Mar 2019,7:12 PM,31 Dec 2018,"7,585","1,271",0.61,30 Sep 2018,"8,551","1,050",0.50,30 Jun 2018,"6,136",630,0.30,31 Mar 2018,"7,913",-132,-0.06,31 Mar 2018,"27,731",-,-,"3,369",0,"14,050",0,"22,931","6,041","17,270",536,0,0,"69,563",18.77,-,12.15,2.99,-
AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ),0.005,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC70: CW AIRASIA GROUP BERHAD (AM),0.005,Warr,0,0.000 / 0,"0.005 / 1,500",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB),0.055,Warr,"13,364","0.050 / 3,141","0.065 / 1,499",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ),0.150,Warr,"16,026","0.150 / 3,000",0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB),0.185,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ),0.295,Warr,200,0.000 / 0,0.340 / 50,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHB HOLDINGS BHD,0.150,Main,"10,309","0.145 / 8,911","0.150 / 4,221",29 Mar 2019,7:12 PM,31 Dec 2018,"3,785",302,0.17,30 Sep 2018,"4,975",519,0.31,30 Jun 2018,"4,899",508,0.30,31 Mar 2018,"3,974",-291,-0.18,31 Mar 2018,"17,627",-,-,"1,339","1,936","9,441",0,"6,313","3,606","2,152",0,0,0,"35,710",-0.89,-,7.6,10.45,-
AIRASIAC75: CW AIRASIA GROUP BERHAD (AM),0.110,Warr,"1,912",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB),0.055,Warr,"2,500",0.000 / 0,0.075 / 500,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC78: CW AIRASIA GROUP BERHAD (KIBB),0.080,Warr,"14,600",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC79: CW AIRASIA GROUP BERHAD (CIMB),0.035,Warr,"10,147","0.035 / 1,000","0.040 / 2,420",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC80: CW AIRASIA GROUP BERHAD (KIBB),0.050,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ),0.055,Warr,"100,345","0.050 / 17,100","0.060 / 1,000",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEON CO. (M) BHD,1.470,Main,"4,559",1.470 / 306,1.490 / 72,29 Mar 2019,7:12 PM,31 Dec 2018,"1,110,518","53,543",3.81,30 Sep 2018,"1,064,808","13,851",0.99,30 Jun 2018,"1,064,029","9,788",0.70,31 Mar 2018,"1,114,285","27,941",1.99,31 Dec 2017,"4,088,164","535,503","231,110","105,007","17,228","3,504,045","92,690","610,731","78,594","2,265,845","155,323",0,0,"1,962,867",5.74,5.46,2.57,0.34,0.23
MALAYSIA AIRPORTS HOLDINGS BHD,7.240,Main,"36,477",7.240 / 165,7.250 / 15,29 Mar 2019,7:12 PM,31 Dec 2018,"1,251,671","28,096",-0.05,30 Sep 2018,"1,229,545","168,492",9.28,30 Jun 2018,"1,154,690","86,116",3.47,31 Mar 2018,"1,215,796","444,599",25.94,31 Dec 2017,"4,652,338","1,889,591","962,153","236,486","17,483,908","349,847","555,742","140,591","2,460,980","2,233,651","5,126,028","3,868",0,"9,009,157",22.58,2.67,5.08,1.52,0.25
AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB),0.025,Warr,"1,000","0.020 / 9,400","0.030 / 1,505",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"4,098,759","827,069","550,395","377,483","8,266,632","326,335","833,036","122,317","345,413","1,170,460","3,600,000",0,0,"4,678,367",14.18,8.35,9.21,0.89,0.36
AMALGAMATED INDUSTRIAL STEEL,0.260,Main,10,0.260 / 5,0.285 / 14,29 Mar 2019,7:12 PM,31 Dec 2018,485,"-3,632",-2.64,21 Nov 2018,0,0,0.00,30 Jun 2018,295,-238,-0.17,31 Dec 2017,-14,"1,674",1.22,31 Dec 2017,"19,740",-,-,"6,273",0,573,12,"22,224","51,672","4,017",0,234,0,"142,010",33.01,-,31.78,18.58,-
AIRPORT-C6: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB),0.075,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"4,098,759","827,069","550,395","377,483","8,266,632","326,335","833,036","122,317","345,413","1,170,460","3,600,000",0,0,"4,678,367",14.18,8.35,9.21,0.89,0.36
AIRPORT-C7: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (KIBB),0.050,Warr,5,0.045 / 500,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"4,098,759","827,069","550,395","377,483","8,266,632","326,335","833,036","122,317","345,413","1,170,460","3,600,000",0,0,"4,678,367",14.18,8.35,9.21,0.89,0.36
AJIYA BERHAD - WARRANTS 2016/2021,0.100,Main,0,"0.090 / 1,000","0.095 / 1,000",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,30 Nov 2013,"391,859","41,836","33,370","19,185","3,693","164,931","6,989","74,346","30,701","68,471","19,867",0,0,"302,323",8.78,6.59,4.9,3.21,0.09
AJIYA BHD,0.535,Main,370,0.535 / 640,0.540 / 60,29 Mar 2019,7:12 PM,30 Nov 2018,"91,691","1,743",0.60,31 Aug 2018,"96,193","18,398",5.61,31 May 2018,"103,737","6,180",1.62,28 Feb 2018,"90,729","1,065",0.37,30 Nov 2017,"370,883","26,384","16,029","13,647","1,659","175,259","5,344","75,593","75,372","57,132","3,420",0,0,"397,545",5.14,3.46,3.68,4.65,0.01
ALAM MARITIM RESOURCES BERHAD - WARRANTS 2019/2022,0.035,Main,"169,207","0.035 / 103,522","0.040 / 89,620",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"447,397","133,914","97,077","74,305","1,513","545,535","285,353","3,753","135,187","546,914","247,400",0,0,"607,086",24.34,13.09,16.61,1.18,0.39
AJINOMOTO (M) BHD,18.000,Main,95,17.920 / 5,18.000 / 70,29 Mar 2019,7:12 PM,31 Dec 2018,"115,177","18,056",29.70,30 Sep 2018,"117,844","15,532",25.55,30 Jun 2018,"95,228","11,169",18.37,31 Mar 2018,"115,053","14,686",24.16,31 Mar 2018,"436,286",-,-,"56,262",0,"84,374",226,"45,744","126,747","37,451",0,"11,034",0,"437,129",15.37,-,12.9,10.7,-
AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ),0.005,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAM MARITIM RESOURCES BHD,0.115,Main,"20,064","0.110 / 5,398","0.115 / 13,315",29 Mar 2019,7:12 PM,31 Dec 2018,"31,495","-131,886",-14.30,30 Sep 2018,"21,413","-21,436",-2.30,30 Jun 2018,"18,896","-9,331",-1.00,31 Mar 2018,"21,437","-8,953",-1.20,31 Dec 2017,"161,075",-,-,"-145,972",0,"391,083","188,107","1,513","55,792","252,381","19,143",0,0,"593,643",-82.1,-,-90.62,1.15,-
ALCOM GROUP BERHAD,0.530,Main,659,0.530 / 190,0.550 / 636,29 Mar 2019,7:12 PM,31 Dec 2018,"100,761","3,426",2.55,30 Sep 2018,"83,050",-533,-0.40,30 Jun 2018,"100,852",356,0.27,31 Mar 2018,"101,040",188,0.14,31 Mar 2017,"317,132","24,738","14,561","11,610","2,158","62,513",0,"57,887","57,041","37,077",0,"5,144",0,"176,251",4.98,6.81,3.66,4.28,0
AIRPORT-C5: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MACQ),0.030,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"4,098,759","827,069","550,395","377,483","8,266,632","326,335","833,036","122,317","345,413","1,170,460","3,600,000",0,0,"4,678,367",14.18,8.35,9.21,0.89,0.36
AL-AQAR HEALTHCARE REIT,1.370,Main,"6,690","1.350 / 3,011",1.360 / 81,29 Mar 2019,7:12 PM,31 Dec 2018,"25,896","44,047",6.04,30 Sep 2018,"25,623","15,140",2.08,30 Jun 2018,"25,585","15,445",2.12,31 Mar 2018,"25,545","16,743",2.30,31 Dec 2018,"102,649",-,-,"91,374",0,0,0,0,"91,348","20,094","603,706",0,0,"947,798",92.19,-,89.02,4.71,-
ALLIANZ MALAYSIA BHD-ICPS,14.300,Main,0,13.900 / 2,14.500 / 8,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,-,-,"339,231","237,921",-,"116,486",-,-,-,-,-,-,-,-,-,-,-,-,-
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,0.020,Main,"9,663","0.015 / 2,157","0.020 / 21,124",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,30 Jun 2013,"12,472","-2,757","-3,178","-9,200","1,936",391,0,"7,014",380,"18,554","2,038",0,0,"4,052",-31.25,-106.33,-73.77,1.07,0.18
AL-SALAM REAL ESTATE INVESTMENT TRUST,0.845,Main,88,0.845 / 82,0.855 / 140,29 Mar 2019,7:12 PM,31 Dec 2018,"23,603","16,260",2.80,30 Sep 2018,"20,060","8,339",1.44,30 Jun 2018,"19,506","7,675",1.32,31 Mar 2018,"18,982","8,028",1.38,31 Dec 2018,"82,150",-,-,"40,301",0,895,0,0,"46,762","12,010","509,528",0,0,"620,927",49.06,-,49.06,5.23,-
AMMB HOLDINGS BHD,4.560,Main,"46,678",4.540 / 100,4.560 / 386,29 Mar 2019,7:12 PM,31 Dec 2018,"2,300,616","365,588",11.63,30 Sep 2018,"2,313,966","378,456",11.57,30 Jun 2018,"2,171,291","383,256",11.56,31 Mar 2018,"2,211,339","302,072",8.43,31 Mar 2016,-,"1,870,730","1,721,863","1,302,206",-,"292,787",-,-,6.85,-,-,-,-,-,-,-,-,-,-
ALLIANZ MALAYSIA BHD,14.500,Main,15,14.440 / 5,14.500 / 6,29 Mar 2019,7:12 PM,31 Dec 2018,"1,302,173","100,040",10.69,30 Sep 2018,"1,301,578","99,879",56.54,30 Jun 2018,"1,306,772","89,870",51.37,31 Mar 2018,"1,271,406","87,232",49.79,31 Dec 2017,-,-,-,"287,962",-,-,-,-,,-,-,-,-,-,-,-,-,-,-
AMBANK-C10: CW AMMB HOLDINGS BERHAD (CIMB),0.165,Warr,4,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Mar 2009,-,"1,268,334","1,217,848","860,824",-,"228,399",-,-,24.53,-,-,-,-,-,-,-,-,-,-
AMBANK-C12: CW AMMB HOLDINGS BERHAD (RHB),0.130,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Mar 2009,-,"1,268,334","1,217,848","860,824",-,"228,399",-,-,24.53,-,-,-,-,-,-,-,-,-,-
AMLEX HOLDINGS BERHAD,0.200,Warr,0,0.010 / 50,0.200 / 100,29 Mar 2019,7:12 PM,30 Sep 2018,"20,548",-38,-0.01,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,-,,,-
AMBANK-C11: CW AMMB HOLDINGS BERHAD (MIBB),0.165,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Mar 2009,-,"1,268,334","1,217,848","860,824",-,"228,399",-,-,24.53,-,-,-,-,-,-,-,-,-,-
